date,year,quarter,month_number,month_name,day,weekday_number,weekday_name,is_weekend,year_month
2016-04-06,2016,2,4,April,6,2,Wednesday,False,2016-04
2016-04-07,2016,2,4,April,7,3,Thursday,False,2016-04
2016-04-08,2016,2,4,April,8,4,Friday,False,2016-04
2016-04-09,2016,2,4,April,9,5,Saturday,True,2016-04
2016-04-10,2016,2,4,April,10,6,Sunday,True,2016-04
2016-04-11,2016,2,4,April,11,0,Monday,False,2016-04
2016-04-12,2016,2,4,April,12,1,Tuesday,False,2016-04
2016-04-13,2016,2,4,April,13,2,Wednesday,False,2016-04
2016-04-14,2016,2,4,April,14,3,Thursday,False,2016-04
2016-04-15,2016,2,4,April,15,4,Friday,False,2016-04
2016-04-16,2016,2,4,April,16,5,Saturday,True,2016-04
2016-04-17,2016,2,4,April,17,6,Sunday,True,2016-04
2016-04-18,2016,2,4,April,18,0,Monday,False,2016-04
2016-04-19,2016,2,4,April,19,1,Tuesday,False,2016-04
2016-04-20,2016,2,4,April,20,2,Wednesday,False,2016-04
2016-04-21,2016,2,4,April,21,3,Thursday,False,2016-04
2016-04-22,2016,2,4,April,22,4,Friday,False,2016-04
2016-04-23,2016,2,4,April,23,5,Saturday,True,2016-04
2016-04-24,2016,2,4,April,24,6,Sunday,True,2016-04
2016-04-25,2016,2,4,April,25,0,Monday,False,2016-04
2016-04-26,2016,2,4,April,26,1,Tuesday,False,2016-04
2016-04-27,2016,2,4,April,27,2,Wednesday,False,2016-04
2016-04-28,2016,2,4,April,28,3,Thursday,False,2016-04
2016-04-29,2016,2,4,April,29,4,Friday,False,2016-04
2016-04-30,2016,2,4,April,30,5,Saturday,True,2016-04
2016-05-01,2016,2,5,May,1,6,Sunday,True,2016-05
2016-05-02,2016,2,5,May,2,0,Monday,False,2016-05
2016-05-03,2016,2,5,May,3,1,Tuesday,False,2016-05
2016-05-04,2016,2,5,May,4,2,Wednesday,False,2016-05
2016-05-05,2016,2,5,May,5,3,Thursday,False,2016-05
2016-05-06,2016,2,5,May,6,4,Friday,False,2016-05
2016-05-07,2016,2,5,May,7,5,Saturday,True,2016-05
2016-05-08,2016,2,5,May,8,6,Sunday,True,2016-05
2016-05-09,2016,2,5,May,9,0,Monday,False,2016-05
2016-05-10,2016,2,5,May,10,1,Tuesday,False,2016-05
